Product,category,rating,Title,Review,Cleaned_Review,Sentiment
Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1.2Meter with Charge & Sync Function for All Type-C Devices (Grey),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,4.3,"Good for fast charge but not for data transfer,Good cable compares to local the brand.,good but doesnt last,Good product,Good Product,Good and worth it,very good material quality charging speed is 15 watt,Not a fast charger","The cable is efficient in fast charging but in quick data transfer. Overall fine.,I like the usb c  L shape. Nylon Shielded core wire it improves the life of the cable.,i think i buy these every 6 months or so. fast charging stops working after a while. probbly something to do with the cable design. the cable gets twisted over time and I suspect that breaks the high capacity wires inside. but i keep buying it because there arent too many options in an L shaped design,Good and durable product. Sometime the charges doesn't work on few adapters. there might be few cut off or something but works fine on apple adapter, Car charger, USB,The product is really good at affordable price.,Good and fast charging, and value for money,பொருள் உடைய கடினத்தன்மையின் நன்றாக உள்ளது சார்ஜ் ஏறும் வேகம் 15wat,Not a fast charger.  Very slow charging with 65w.  L-shape pin is very useful.",cable efficient fast charging quick data transfer overall fine like usb c l shape nylon shielded core wire improves life cable think buy every months fast charging stops working probbly something cable design cable gets twisted time suspect breaks high capacity wires inside keep buying arent many options l shaped design good durable product sometime charges work adapters might cut something works fine apple adapter car charger usb product really good affordable price good fast charging value money wat fast charger slow charging w l shape pin useful,Positive
boAt Rugged v3 Extra Tough Unbreakable Braided Micro USB Cable 1.5 Meter (Black),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,4.2,"Good product,Good one,Nice,Really nice product,Very first time change,Good,Fine product but could be better,Very nice it's charging like jet","Good product,long wire,Charges good,Nice,I bought this cable for Rs.339 worthy product for this price, i tested it in various charger adapters 33w and 18w it supports fast charging as well.,Good,Ok,I had got this at good price on sale on Amazon and product is useful with warranty but for warranty you need to go very far not practical for such a cost and mine micro to type c connector stopped working after few days only.,I like this product",good product long wire charges good nice bought cable rs worthy product price tested various charger adapters w w supports fast charging well good ok got good price sale amazon product useful warranty warranty need go far practical cost mine micro type c connector stopped working days like product,Positive
"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot","Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",4.4,"It's quite good and value for money,Works well,Hdmi cable,Value for money,All good,Gets the job done,Delivery was good,This one was my need to purchase","I am using it for 14 days now. The experience is pretty good as of now. Picture quality is also not bad. Don't expect something out of the world at this price point. But you can go for it if you have a tight budget.,Initial impressions: works as said, glad I didn’t go for cheaper options (not that it’s too costly) just plug and play. Will update if it screws up,The hdmi cable is good to watch movie,sports and its gives better quality while connecting your laptop with TV and play 🎮.I loved it,Works as expected. Length of the cable is short and it was mentioned also satisfied my requirement. If you need more length better look other options.,All good,It's the best HDMI cable at this price range. No problems yet. Just go for it !!,I was expecting this to be delivered on time and it was delivered on time.Product is good as i have tried other cables and wires from Amazon basica brand.,Good one",using days experience pretty good picture quality also bad expect something world price point go tight budget initial impressions works said glad go cheaper options costly plug play update screws hdmi cable good watch movie sports gives better quality connecting laptop tv play loved works expected length cable short mentioned also satisfied requirement need length better look options good best hdmi cable price range problems yet go expecting delivered time delivered time product good tried cables wires amazon basica brand good one,Positive
"Portronics Konnect CL 20W POR-1067 Type-C to 8 Pin USB 1.2M Cable with Power Delivery & 3A Quick Charge Support, Nylon Braided for All Type-C and 8 Pin Devices, Green",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,4.2,"Works,Nice Product,Fast Charging as original,Good for data transfer,Average. Cost effective,Good quality,Great Product,Nice","Definitely isn’t as good as the original cord but works. Fast charging and pretty sturdy,Worth it,So I had a faulty cable. I was lazy and have a lot of money so instead of calling Apple I bought this for like 300 bucks. Didn’t expected much but for my surprise, this cable actually works and has fast charging. JUST GO FOR IT,Felt quite sturdy, the connectors look premium and were easy to insert. I used this cable to switch all my data from iphone 7 to an m30s. Cable worked like charm while using smart switch app, all my data including whatsapp data was transferred successfully. Satisfied with performance.,Just good,Quality is very goodWorking smoothly.. using same portronics pd charger,This is a real fast charging cable that is serving the purpose,Very good",definitely good original cord works fast charging pretty sturdy worth faulty cable lazy lot money instead calling apple bought like bucks expected much surprise cable actually works fast charging go felt quite sturdy connectors look premium easy insert used cable switch data iphone cable worked like charm using smart switch app data including whatsapp data transferred successfully satisfied performance good quality goodworking smoothly using portronics pd charger real fast charging cable serving purpose good,Positive
Portronics Konnect L 1.2M POR-1401 Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function (White),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,4.1,"Great but,Worked well for 6 six months that’s it,Compatible with Apple iPad 2nd generation and charging very well.,CABLE,The product is good but the phone gets disconnected at multiple occasions.,Not a fast charging cable,Good item. Value,Amazing product and value for money","Loosing charging cable of apple is costly affair. This wire was great purchase made to correct it,Worked well for six months that’s it, now it’s stopped working, now planning to buy one more because the price has come down to 150,Very good product. Compatible with  iPad 2nd generation  and charging very well. Quality of the product is very good and also works fine. Totally worth for its price.,Product is super,I'm using from last 6 month. Till now it was good functioning. Now I noticed phone gets disconnected at multiple occasions. might be cable may be damaged.Overall worked well for 6 month.,Takes 5-6 hours to charge full.,Good item. Value,It is the best product I have used till now.",loosing charging cable apple costly affair wire great purchase made correct worked well six months stopped working planning buy one price come good product compatible ipad nd generation charging well quality product good also works fine totally worth price product super using last month till good functioning noticed phone gets disconnected multiple occasions might cable may damaged overall worked well month takes hours charge full good item value best product used till,Positive
MI Braided USB Type-C Cable for Charging Adapter (Red),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,4.4,"Good product,using this product 8months It is done  I have not faced any problem so far, its build quality best,I really liked this one.,Very strong and support fast charging ,,Nice cable,Best data cable charging fast,Good job,Good but need some improvement","I like it 👍👍,Best charging power . I used this cable on note 8 pro mi. Using 8month also fast working.,350 might be a little expensive but physically it’s so good. Feels premium. But power limitation is there it is not suitable for fast charging.,,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/61WnvIUaIwL._SY88.jpg,Best data cable charging fast,Very good quality and good durability,Overall good but need some improvement...",like best charging power used cable note pro mi using month also fast working might little expensive physically good feels premium power limitation suitable fast charging https media amazon com images w webp images wnviuaiwl sy jpg best data cable charging fast good quality good durability overall good need improvement,Positive
MI 80 cm (32 inches) 5A Series HD Ready Smart Android LED TV L32M7-5AIN (Black),"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",4.2,"It is the best tv if you are getting it in 10-12k,Good price but the OS lags,GARBAGE QUALITY,Good product.,Good quality,Great experience everything is fantastic 🤠,Super picture quality and sound quality,Awesome","Pros- xiomi 5a is best in budget-Nice picture quality-Very nice audio output- Full of featureCONS- sometimes tv lags-Sometimes stucksIn this prize range all tv having cons like this.::Overall nice tv,The product in this price range is good but as it is running in Android 12 it lags. I hope after few updates the lags problem will be resolved,Useless product and useless quality. Display issues within 7 months and service center is not upto the mark. Go for better brands where quality is assured. I would wish if there was option of negative stars.,Uses as connectes TV the picture is very good. I was hopping a best level of song. Globaly it is a good product.,https://m.media-amazon.com/images/I/61spXDbojZL._SY88.jpg,Greater then ever,Good quality,Good 👍",pros xiomi best budget nice picture quality nice audio output full featurecons sometimes tv lags sometimes stucksin prize range tv cons like overall nice tv product price range good running android lags hope updates lags problem resolved useless product useless quality display issues within months service center upto mark go better brands quality assured would wish option negative stars uses connectes tv picture good hopping best level song globaly good product https media amazon com images spxdbojzl sy jpg greater ever good quality good,Positive
"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C to Type C Cable for Smartphones, Tablets, Laptops & Other Type C Devices, PD Technology, 480Mbps Data Sync (RCTT15, Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,4.0,"A Good Braided Cable for Your Type C Device,Good quality product from ambrane,Super cable,As,Good quality,Good product,its good,Good quality for the price but one issue with my unit","I ordered this cable to connect my phone to Android Auto of car. The cable is really strong and the connection ports are really well made. I already has a Micro USB cable from Ambrane and it's still in good shape. I connected my phone to the car using the cable and it got connected well and no issues. I also connected it to the charging port and yes it has Fast Charging support.,It quality is good at this price and the main thing is that i didn't ever thought that this cable will be so long it's good one and charging power is too good and also supports fast charging,Value for money, with extra length👍,Good, working fine,Product quality is good,Good,very good,Bought for my daughter's old phone.Brand new cable it was not charging, I already repacked and requested for replacement.I checked again, and there was some green colour paste/fungus inside the micro USB connector. I cleaned with an alcoholic and starts working again.Checked the ampere of charging speed got around 1400ma-1500ma - not bad, came with braided 1.5m long cable, pretty impressive for the price.Can't blame the manufacturer.But quality issues by the distributor, they might have stored in very humid place.",ordered cable connect phone android auto car cable really strong connection ports really well made already micro usb cable ambrane still good shape connected phone car using cable got connected well issues also connected charging port yes fast charging support quality good price main thing ever thought cable long good one charging power good also supports fast charging value money extra length good working fine product quality good good good bought daughter old phone brand new cable charging already repacked requested replacement checked green colour paste fungus inside micro usb connector cleaned alcoholic starts working checked ampere charging speed got around bad came braided long cable pretty impressive price blame manufacturer quality issues distributor might stored humid place,Positive
"boAt Type C A325 Tangle-free, Sturdy Type C Cable with 3A Rapid Charging & 480mbps Data Transmission(Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,4.1,"Good for charging and Data transfer,ਮਜ਼ਬੂਤ,Good Quality but less Power Delivery,Fantastic!,Good,Not useful,Doesn't fit properly,Can't support Oppo mobile for fast charging","Check for offera before buying,18w charging cable,,Awesome cable!Charging, data transfer and durability is simply awesome, and there is not a single disconnection issue, which I always faced in original mi cable from box. Bought 1 more time as last cable damaged when phone fell on usb cable port as my phone is heavy and I never faced any issues so i bought one more time and didn't went for replacement as its waste of time and energy, i also have boat earphones that is also awesome..😄,Good,Charging is very slow. Forget about fast charging. Not useful at all,Cable is not fit properly on my samsung galaxy m31 type C port. If little hit happens then cable is plug it out. Otherwise length and cable quality is very nice,Boat type C cable doesn't support fast charging on Oppo F15, earlier i was using Vooc cable, which worked excellent",check offera buying w charging cable awesome cable charging data transfer durability simply awesome single disconnection issue always faced original mi cable box bought time last cable damaged phone fell usb cable port phone heavy never faced issues bought one time went replacement waste time energy also boat earphones also awesome good charging slow forget fast charging useful cable fit properly samsung galaxy type c port little hit happens cable plug otherwise length cable quality nice boat type c cable support fast charging oppo f earlier using vooc cable worked excellent,Positive
LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",4.3,"Sound quality,Very nice,Value for money,Good,Good for its price.,Good item,Budget friendly,Good","LG was always Good , correct delivery, good service but sound quality was poor. The speakers were fitted below the tv. No clear sound. That was the only problem.,Good videoGood vice,Picture quality is awesome.,Good at that price,Okay product, the OS has lags after about a year of use. This is the best you can get for the price tag it comes with.,I like it,Best one when it comes to bugdet, easy installation and handy features.,Good",lg always good correct delivery good service sound quality poor speakers fitted tv clear sound problem good videogood vice picture quality awesome good price okay product os lags year use best get price tag comes like best one comes bugdet easy installation handy features good,Positive
